ID	ker	kas	lan	time	ammN	nitN	liuN	Smgkg	Smgl	 KuitLisKokN 	 KuitLisN 	 TOCN 	 TOCNliu 	 LisC 
9	1	1	2	1	0.0	 5.8   	 5.8   	 52.0   	 79.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
18	1	3	2	1	4.7	 6.5   	 11.2   	 62.0   	 93.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
20	1	2	2	1	0.2	 6.8   	 6.8   	 62.0   	 91.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
29	2	3	2	1	0.1	 6.7   	 6.7   	 47.0   	 79.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
35	2	4	2	1	0.6	 3.9   	 3.9   	 53.0   	 82.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
40	2	2	2	1	0.5	 3.7   	 3.7   	 55.0   	 85.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
46	2	1	2	1	0.8	 6.0   	 6.0   	 62.0   	 91.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
53	3	4	2	1	3.4	 8.3   	 11.7   	 50.0   	 75.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
60	3	3	2	1	0.5	 7.6   	 7.6   	 51.0   	 76.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
62	3	1	2	1	0.6	 5.3   	 5.3   	 42.0   	 64.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
69	3	2	2	1	0.4	 7.9   	 7.9   	 40.0   	 59.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
78	4	2	2	1	0.6	 9.8   	 9.8   	 33.0   	 54.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
83	4	1	2	1	0.0	 7.8   	 7.8   	 41.0   	 63.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
88	4	3	2	1	2.4	 7.2   	 9.6   	 35.0   	 50.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
95	4	4	2	1	0.0	 4.3   	 4.3   	 36.0   	 54.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
97	1	4	2	2	0.0	 3.5   	 3.5   	 97.0   	 130.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
105	1	1	2	2	2.2	 2.8   	 5.0   	 44.0   	 67.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
114	1	3	2	2	3.1	 4.5   	 7.6   	 56.0   	 81.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
116	1	2	2	2	1.8	 5.6   	 7.4   	 82.0   	 110.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
125	2	3	2	2	2.2	 4.2   	 6.4   	 53.0   	 69.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
131	2	4	2	2	1.7	 3.4   	 5.1   	 60.0   	 92.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
136	2	2	2	2	3.1	 4.4   	 7.5   	 47.0   	 65.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
142	2	1	2	2	3.2	 2.5   	 5.7   	 48.0   	 67.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
149	3	4	2	2	3.8	 4.4   	 8.2   	 56.0   	 83.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
156	3	3	2	2	3.1	 5.7   	 8.8   	 39.0   	 54.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
158	3	1	2	2	1.2	 4.0   	 4.0   	 56.0   	 88.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
165	3	2	2	2	0.2	 6.8   	 6.8   	 34.0   	 52.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
174	4	2	2	2	0.5	 6.0   	 6.0   	 38.0   	 58.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
179	4	1	2	2	0.2	 6.4   	 6.4   	 44.0   	 63.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
184	4	3	2	2	1.0	 6.4   	 6.4   	 42.0   	 59.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
191	4	4	2	2	1.1	 11.0   	 11.0   	 37.0   	 56.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
193	1	4	2	3	0.6	 4.5   	 4.5   	 55.0   	 75.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
201	1	1	2	3	0.0	 3.5   	 3.5   	 49.0   	 72.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
210	1	3	2	3	0.0	 3.9   	 3.9   	 54.0   	 77.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
212	1	2	2	3	0.0	 5.2   	 5.2   	 64.0   	 81.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
221	2	3	2	3	0.9	 3.7   	 3.7   	 38.0   	 53.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
227	2	4	2	3	0.8	 4.0   	 4.0   	 53.0   	 80.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
232	2	2	2	3	0.0	 5.3   	 5.3   	 33.0   	 47.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
238	2	1	2	3	2.4	 6.0   	 8.4   	 43.0   	 55.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
245	3	4	2	3	0.7	 3.3   	 3.3   	 49.0   	 68.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
252	3	3	2	3	1.8	 4.7   	 6.5   	 45.0   	 62.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
254	3	1	2	3	1.2	 5.0   	 5.0   	 41.0   	 56.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
261	3	2	2	3	0.9	 1.8   	 1.8   	 29.0   	 42.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
270	4	2	2	3	0.5	 4.7   	 4.7   	 78.0   	 57.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
275	4	1	2	3	1.8	 3.8   	 5.6   	 39.0   	 56.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
280	4	3	2	3	1.6	 4.0   	 5.6   	 40.0   	 62.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
287	4	4	2	3	2.6	 4.8   	 7.4   	 36.0   	 54.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
289	1	4	2	4	1.0	 7.0   	 7.0   	 41.0   	 57.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
297	1	1	2	4	2.9	 9.0   	 11.9   	 29.0   	 42.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
306	1	3	2	4	8.1	 9.4   	 17.5   	 21.0   	 31.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
308	1	2	2	4	3.6	 5.7   	 9.3   	 39.0   	 57.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
317	2	3	2	4	0.9	 5.5   	 5.5   	 53.0   	 74.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
323	2	4	2	4	1.6	 5.5   	 7.1   	 33.0   	 52.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
328	2	2	2	4	1.3	 8.5   	 8.5   	 22.0   	 32.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
334	2	1	2	4	1.0	 4.4   	 4.4   	 25.0   	 35.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
341	3	4	2	4	8.2	 8.9   	 17.1   	 24.0   	 33.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
348	3	3	2	4	1.8	 9.7   	 11.5   	 24.0   	 33.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
350	3	1	2	4	0.8	 5.6   	 5.6   	 26.0   	 37.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
357	3	2	2	4	3.0	 9.8   	 12.8   	 24.0   	 35.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
366	4	2	2	4	3.6	 11.0   	 14.6   	 30.0   	 42.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
371	4	1	2	4	1.3	 7.9   	 7.9   	 27.0   	 41.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
376	4	3	2	4	2.6	 13.0   	 15.6   	 28.0   	 43.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
383	4	4	2	4	2.1	 11.0   	 13.1   	 33.0   	 47.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
385	1	4	2	5	1.7	 14.0   	 15.7   	 9.0   	 12.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
393	1	1	2	5	2.3	 8.5   	 10.8   	 24.0   	 32.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
402	1	3	2	5	2.9	 9.9   	 12.8   	 32.0   	 42.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
404	1	2	2	5	1.0	 12.0   	 12.0   	 24.0   	 32.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
413	2	3	2	5	1.6	 11.0   	 12.6   	 33.0   	 45.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
419	2	4	2	5	2.3	 15.0   	 17.3   	 41.0   	 55.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
424	2	2	2	5	1.8	 14.0   	 15.8   	 25.0   	 33.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
430	2	1	2	5	1.3	 9.6   	 9.6   	 23.0   	 30.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
437	3	4	2	5	1.9	 14.0   	 15.9   	 33.0   	 44.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
444	3	3	2	5	5.8	 13.0   	 18.8   	 31.0   	 42.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
446	3	1	2	5	1.7	 11.0   	 12.7   	 34.0   	 45.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
453	3	2	2	5	1.7	 12.0   	 13.7   	 22.0   	 29.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
462	4	2	2	5	1.5	 12.0   	 13.5   	 23.0   	 30.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
467	4	1	2	5	1.7	 16.0   	 17.7   	 24.0   	 32.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
472	4	3	2	5	0.8	 13.0   	 13.0   	 28.0   	 38.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
479	4	4	2	5	0.9	 16.0   	 16.0   	 26.0   	 35.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
485	1	2	2	6	NA	3.3	NA	NA	NA	 231   	 15   	 77   	" 1,159   "	" 17,758   "
487	1	3	2	6	NA	4.1	NA	NA	NA	 231   	 15   	 77   	" 1,159   "	" 17,758   "
496	1	1	2	6	NA	3.3	NA	NA	NA	 231   	 15   	 77   	" 1,159   "	" 17,758   "
504	1	4	2	6	NA	4.4	NA	NA	NA	 231   	 15   	 77   	" 1,159   "	" 17,758   "
507	2	1	2	6	NA	3.2	NA	NA	NA	 231   	 15   	 77   	" 1,159   "	" 17,758   "
513	2	2	2	6	NA	3.1	NA	NA	NA	 231   	 15   	 77   	" 1,159   "	" 17,758   "
518	2	4	2	6	NA	3.1	NA	NA	NA	 231   	 15   	 77   	" 1,159   "	" 17,758   "
524	2	3	2	6	NA	2.6	NA	NA	NA	 231   	 15   	 77   	" 1,159   "	" 17,758   "
4	1	4	3	1	0.3	 6.0   	 6.0   	 55.0   	 80.0   	 230   	 28   	 55   	 444   	" 12,539   "
10	1	1	3	1	2.0	 9.9   	 11.9   	 36.0   	 50.0   	 230   	 28   	 55   	 444   	" 12,539   "
16	1	3	3	1	0.3	 6.8   	 6.8   	 39.0   	 58.0   	 230   	 28   	 55   	 444   	" 12,539   "
22	1	2	3	1	3.1	 5.9   	 9.0   	 45.0   	 64.0   	 230   	 28   	 55   	 444   	" 12,539   "
27	2	3	3	1	9.5	 8.5   	 18.0   	 37.0   	 56.0   	 230   	 28   	 55   	 444   	" 12,539   "
36	2	4	3	1	0.5	 4.6   	 4.6   	 47.0   	 67.0   	 230   	 28   	 55   	 444   	" 12,539   "
41	2	2	3	1	0.6	 4.6   	 4.6   	 48.0   	 71.0   	 230   	 28   	 55   	 444   	" 12,539   "
47	2	1	3	1	29.0	 13.0   	 42.0   	 34.0   	 49.0   	 230   	 28   	 55   	 444   	" 12,539   "
50	3	4	3	1	2.7	 4.0   	 6.7   	 36.0   	 51.0   	 230   	 28   	 55   	 444   	" 12,539   "
59	3	3	3	1	0.7	 6.7   	 6.7   	 28.0   	 45.0   	 230   	 28   	 55   	 444   	" 12,539   "
64	3	1	3	1	0.6	 5.0   	 5.0   	 38.0   	 57.0   	 230   	 28   	 55   	 444   	" 12,539   "
68	3	2	3	1	0.3	 5.8   	 5.8   	 25.0   	 39.0   	 230   	 28   	 55   	 444   	" 12,539   "
