"kas" "lan" "time" "mean" "sd" "lower" "upper"
"36" "R" "C" "16.10.2017" 3.7 1.56843871413581 5.26843871413581 2.13156128586419
"37" "KK" "S1" "29.9.2015" 7.375 2.65377090194312 10.0287709019431 4.72122909805688
"38" "KK" "S1" "23.10.2015" 6 1.76446403571547 7.76446403571547 4.23553596428453
"39" "KK" "S1" "15.11.2015" 4.75 0.91104335791443 5.66104335791443 3.83895664208557
"40" "KK" "S1" "22.4.2016" 8.775 2.69613921500108 11.4711392150011 6.07886078499892
"41" "KK" "S1" "12.9.2016" 11.75 1.5 13.25 10.25
"42" "KK" "S1" "16.10.2017" 3.35 1.15614301306831 4.50614301306831 2.19385698693169
"43" "KK" "S2" "29.9.2015" 7.05 2.55408170059874 9.60408170059874 4.49591829940126
"44" "KK" "S2" "23.10.2015" 5.7 1 6.7 4.7
"45" "KK" "S2" "15.11.2015" 4.25 1.65428735915701 5.90428735915701 2.59571264084299
"46" "KK" "S2" "22.4.2016" 8.75 2.27522892621087 11.0252289262109 6.47477107378913
"47" "KK" "S2" "12.9.2016" 12.5 1 13.5 11.5
"48" "KK" "S2" "16.10.2017" 3.925 0.888350531415762 4.81335053141576 3.03664946858424
"49" "KK" "S3" "29.9.2015" 5.675 0.763216876123688 6.43821687612369 4.91178312387631
"50" "KK" "S3" "23.10.2015" 6.15 2.09364116632563 8.24364116632563 4.05635883367437
"51" "KK" "S3" "15.11.2015" 4.25 1.00166528008778 5.25166528008778 3.24833471991222
"52" "KK" "S3" "22.4.2016" 10.125 4.39952648967288 14.5245264896729 5.72547351032712
"53" "KK" "S3" "12.9.2016" 10.975 2.19146070008111 13.1664607000811 8.78353929991889
"54" "KK" "S3" "16.10.2017" 3.825 0.903234926989282 4.72823492698928 2.92176507301072
"55" "KK" "S4" "29.9.2015" 6.025 2.06619618300554 8.09119618300554 3.95880381699446
"56" "KK" "S4" "23.10.2015" 4.3 1.08012344973464 5.38012344973464 3.21987655026536
"57" "KK" "S4" "15.11.2015" 4.525 1.01447851956888 5.53947851956888 3.51052148043112
"58" "KK" "S4" "22.4.2016" 10.625 1.59243000892766 12.2174300089277 9.03256999107234
"59" "KK" "S4" "12.9.2016" 12.25 1.5 13.75 10.75
"60" "KK" "S4" "16.10.2017" 3.7 0.535412613473634 4.23541261347363 3.16458738652637
"61" "KK" "Min" "29.9.2015" 13 2.94392028877595 15.9439202887759 10.0560797112241
"62" "KK" "Min" "23.10.2015" 13.25 1.5 14.75 11.75
"63" "KK" "Min" "15.11.2015" 7.575 2.20208234783958 9.77708234783958 5.37291765216042
"64" "KK" "Min" "22.4.2016" 11.275 1.66408132814075 12.9390813281407 9.61091867185925
"65" "KK" "Min" "12.9.2016" 10.425 1.30735101126923 11.7323510112692 9.11764898873077
"66" "KK" "Min" "16.10.2017" 3.6 1.44452991200136 5.04452991200136 2.15547008799864
"67" "KK" "C" "29.9.2015" 10.85 2.05507501890645 12.9050750189064 8.79492498109355
"68" "KK" "C" "23.10.2015" 11.85 2.49466096560902 14.344660965609 9.35533903439098
"69" "KK" "C" "15.11.2015" 8.15 1.70977581376429 9.85977581376429 6.44022418623571
"70" "KK" "C" "22.4.2016" 11.2 1.04562580942387 12.2456258094239 10.1543741905761
"71" "KK" "C" "12.9.2016" 9.4 1.81107702762748 11.2110770276275 7.58892297237252
"72" "KK" "C" "16.10.2017" 3.2 1.15181016954473 4.35181016954473 2.04818983045527
"73" "P" "S1" "29.9.2015" 7.8 1.70098010962308 9.50098010962308 6.09901989037692
