ID	ker	kas	lan	time	ammN	nitN	liuN	Smgkg	Smgl
189	4	4	3	2	0.3	 5.5   	 5.5   	 27.0   	 37.0   
190	4	4	1	2	3.5	 8.0   	 11.5   	 30.0   	 48.0   
191	4	4	2	2	1.1	 11.0   	 11.0   	 37.0   	 56.0   
192	4	4	5	2	7.7	 13.0   	 20.7   	 20.0   	 30.0   
193	1	4	2	3	0.6	 4.5   	 4.5   	 55.0   	 75.0   
194	1	4	1	3	0.0	 3.6   	 3.6   	 55.0   	 84.0   
195	1	4	5	3	0.0	 4.0   	 4.0   	 34.0   	 47.0   
196	1	4	3	3	0.0	 2.6   	 2.6   	 65.0   	 91.0   
197	1	4	4	3	0.0	 5.2   	 5.2   	 38.0   	 46.0   
198	1	4	6	3	0.0	 4.3   	 4.3   	 69.0   	 100.0   
199	1	1	4	3	0.0	 4.5   	 4.5   	 41.0   	 59.0   
200	1	1	1	3	0.0	 4.2   	 4.2   	 79.0   	 110.0   
201	1	1	2	3	0.0	 3.5   	 3.5   	 49.0   	 72.0   
202	1	1	3	3	0.0	 4.2   	 4.2   	 31.0   	 45.0   
203	1	1	5	3	0.0	 15.0   	 15.0   	 33.0   	 43.0   
204	1	1	6	3	0.0	 8.3   	 8.3   	 24.0   	 33.0   
205	1	3	5	3	4.8	 9.8   	 14.6   	 24.0   	 32.0   
206	1	3	1	3	0.0	 6.4   	 6.4   	 53.0   	 72.0   
207	1	3	4	3	0.4	 4.7   	 4.7   	 37.0   	 49.0   
208	1	3	3	3	0.0	 5.7   	 5.7   	 29.0   	 39.0   
209	1	3	6	3	0.0	 9.8   	 9.8   	 25.0   	 30.0   
210	1	3	2	3	0.0	 3.9   	 3.9   	 54.0   	 77.0   
211	1	2	4	3	0.2	 5.1   	 5.1   	 57.0   	 82.0   
212	1	2	2	3	0.0	 5.2   	 5.2   	 64.0   	 81.0   
213	1	2	1	3	2.3	 5.4   	 7.7   	 56.0   	 75.0   
214	1	2	3	3	0.0	 3.9   	 3.9   	 49.0   	 70.0   
215	1	2	6	3	0.0	 9.0   	 9.0   	 36.0   	 48.0   
216	1	2	5	3	0.0	 9.9   	 9.9   	 28.0   	 43.0   
217	2	3	5	3	0.1	 12.0   	 12.0   	 32.0   	 45.0   
218	2	3	1	3	0.5	 5.4   	 5.4   	 49.0   	 68.0   
219	2	3	3	3	0.0	 3.6   	 3.6   	 31.0   	 49.0   
220	2	3	6	3	0.4	 6.9   	 6.9   	 27.0   	 36.0   
221	2	3	2	3	0.9	 3.7   	 3.7   	 38.0   	 53.0   
222	2	3	4	3	0.4	 4.0   	 4.0   	 46.0   	 67.0   
223	2	4	1	3	0.0	 3.1   	 3.1   	 53.0   	 74.0   
224	2	4	5	3	2.8	 5.8   	 8.6   	 33.0   	 48.0   
225	2	4	6	3	0.8	 4.8   	 4.8   	 33.0   	 48.0   
226	2	4	4	3	0.1	 3.5   	 3.5   	 72.0   	 110.0   
227	2	4	2	3	0.8	 4.0   	 4.0   	 53.0   	 80.0   
228	2	4	3	3	1.4	 3.4   	 3.4   	 42.0   	 60.0   
229	2	2	4	3	0.2	 4.3   	 4.3   	 53.0   	 70.0   
230	2	2	1	3	1.8	 5.1   	 6.9   	 45.0   	 62.0   
231	2	2	5	3	1.4	 7.7   	 7.7   	 25.0   	 34.0   
232	2	2	2	3	0.0	 5.3   	 5.3   	 33.0   	 47.0   
233	2	2	3	3	0.3	 5.2   	 5.2   	 38.0   	 47.0   
